S05c_025,S05c_026,S05c_027,S05c_028,S05c_029,S05c_030,S05c_031,S05c_032,S05c_033,S05c_034,S05c_035,S05c_036,S05c_037,S05c_038,S05c_039,S05c_040,S05c_041,S05c_042,S05c_043,S05c_044,S05c_045,S05c_046,S05c_047,S05c_048,S05c_049,S05c_050,S05c_051,S05c_052,S05c_053,S05c_054,S05c_055,S05c_056,S05c_057,longitude,latitude
2008,3824,玉川学園前,888,1552,27,0,567,31,0,963,1347,21398,0,0,0,60,26833,785,1144,27,0,365,218,0,915,1247,20901,0,0,26,60,25688,139.46393,35.56428
2008,3826,小田急相模原,490,78,0,0,104,0,0,78,2754,13629,0,0,0,0,17133,521,29,0,0,104,57,0,78,2660,13428,0,0,0,0,16877,139.42363,35.51625
2008,3827,相武台前,2206,869,74,0,120,33,0,93,2674,11936,0,0,42,0,18047,2189,509,33,0,120,116,0,37,2660,12388,0,0,0,0,18052,139.40909,35.49995
2008,3817,向ヶ丘遊園,3563,380,27,0,1011,27,96,184,3232,17111,0,0,0,0,25631,3815,418,29,0,939,312,65,220,2935,17067,0,0,0,0,25800,139.56355,35.61683
2008,3823,鶴川,10012,2425,261,0,656,108,43,862,4090,15430,0,0,0,0,33887,10006,1733,267,69,607,943,43,700,4140,15473,0,0,0,29,34010,139.48287,35.58332
2008,3830,愛甲石田,4571,1825,351,0,4409,77,0,591,3726,11456,0,0,89,64,27159,4743,1095,138,0,4505,328,0,452,3649,12702,0,0,89,64,27765,139.34465,35.41817
2008,3836,新松田,2337,1503,561,0,371,194,0,0,770,4753,0,0,0,0,10489,2700,1987,194,0,371,132,0,0,770,4265,0,0,0,0,10419,139.13878,35.34432
2008,3828,座間,572,475,346,0,34,0,0,190,448,7621,0,0,0,0,9686,451,388,346,0,34,101,0,190,448,7455,0,0,0,0,9413,139.39986,35.48173
2008,3838,栢山,0,305,127,0,48,0,0,0,376,3759,0,0,0,0,4615,0,601,127,0,0,0,0,0,376,3630,0,0,0,0,4734,139.14252,35.31096
2008,3829,本厚木,20403,2169,258,223,1724,523,119,931,5895,38961,0,0,199,0,71405,20507,1230,258,0,1723,910,119,931,5804,39440,0,0,100,59,71081,139.36355,35.43856
2008,3834,秦野,6597,2383,396,0,1223,35,0,369,1548,8726,0,0,0,0,21277,7172,2159,219,0,1320,175,0,508,1430,8938,0,0,0,0,21921,139.22685,35.36956
2008,3832,鶴巻温泉,192,213,0,0,0,29,139,0,112,6637,0,0,0,0,7322,313,203,0,0,0,0,89,0,112,6540,0,0,0,0,7257,139.2779,35.38099
2008,3837,開成,0,1095,360,0,624,0,0,0,1407,2576,0,0,0,0,6062,93,1255,360,0,669,79,0,0,1407,2705,0,0,0,0,6568,139.13567,35.32681
2008,3831,伊勢原,6840,2472,408,0,489,210,0,679,2129,11861,0,0,0,0,25088,7939,1461,190,0,901,289,0,679,1983,12005,0,0,0,0,25447,139.31439,35.39638
2008,3839,富水,0,82,0,0,0,88,0,93,385,2134,0,0,67,0,2849,0,82,0,0,0,0,0,93,385,2027,0,0,67,0,2654,139.14491,35.2974
2008,3835,渋沢,1391,732,63,0,139,120,0,574,1577,8522,0,0,0,0,13118,1336,1110,63,0,240,364,111,356,1445,8822,0,0,0,0,13847,139.1856,35.3739
